h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda1_real,lambda1_imag,rho_F,arg_lambda,mode_type,lambda1_residual,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,ritz_iterations,runtime_s,lambda2_real,lambda2_imag,lambda2_abs,lambda2_residual,lambda3_real,lambda3_imag,lambda3_abs,lambda3_residual,lambda4_real,lambda4_imag,lambda4_abs,lambda4_residual,lambda5_real,lambda5_imag,lambda5_abs,lambda5_residual,excess_percent,log_growth_per_cell
0.005,5.0,0.001,0.25,0.9758771281656776,8.003064692820415,3200,16.0,5.5077574540539874e-11,-1.0725662768122564,0.1254393918252715,1.0798765944201216,3.025168963357827,complex pair,8.74779310037026e-10,0.7041904897162218,0.2949672949535676,0.9991577846697894,300,2.8584423065185547,-1.0725662768122564,-0.1254393918252715,1.0798765944201216,8.74779310037026e-10,-0.9218701977776728,-0.4286370132191603,1.0166485875916458,0.0206039643359998,-0.9218701977776728,0.4286370132191603,1.0166485875916458,0.0206039643359998,-0.3142567004110701,-0.722042953625328,0.7874663806368121,0.599973411499172,7.987659442012163,0.0768467701816381
0.005,10.0,0.0005,0.25,0.9758771281656776,8.003064692820415,3200,16.0,5.340876459509003e-11,-1.0594720984310426,0.0,1.0594720984310426,3.141592653589793,real flip,7.713491758956176e-10,0.8245336363087494,0.1735928161370166,0.998126452445766,420,3.9556047916412354,-1.0000366409355237,-0.2256531682174707,1.0251793187243816,0.0004706344320741,-1.0000366409355237,0.2256531682174707,1.0251793187243816,0.0004706344320741,-0.8632590147909676,-0.540362862381235,1.0184341655986966,0.0043089462119624,-0.8632590147909676,0.540362862381235,1.0184341655986966,0.0043089462119624,5.947209843104262,0.0577707637225801
0.005,15.0,0.0003333333333333,0.25,0.9758771281656776,8.003064692820415,3200,16.0,2.0573961745332398e-11,-1.078150565797919,0.0,1.078150565797919,3.141592653589793,real flip,1.0545327087530624e-09,0.8431563480937588,0.1560808075027061,0.999237155596465,320,4.769121408462524,-1.009181831565673,-0.2438101256850699,1.0382154624878288,0.000115815466415,-1.009181831565673,0.2438101256850699,1.0382154624878288,0.000115815466415,-0.858134896783832,-0.5557575569648031,1.0223805373742618,0.0076130249181281,-0.858134896783832,0.5557575569648031,1.0223805373742618,0.0076130249181281,7.81505657979189,0.0752471341603007
0.005,20.0,0.00025,0.25,0.9758771281656776,8.003064692820415,3200,16.0,6.152806917760357e-12,-1.0831366690499171,0.0,1.0831366690499171,3.141592653589793,real flip,2.440798640394493e-10,0.8446051097191631,0.1547665734967218,0.999371683215885,320,6.068536281585693,-1.011752884851238,-0.2489147749440036,1.0419224852119406,3.792270932799075e-05,-1.011752884851238,0.2489147749440036,1.0419224852119406,3.792270932799075e-05,-0.8561641590961879,-0.5607940055118278,1.023477886394661,0.005771525565208,-0.8561641590961879,0.5607940055118278,1.023477886394661,0.005771525565208,8.313666904991713,0.0798611549322198
0.005,30.0,0.0001666666666666,0.25,0.9758771281656776,8.003064692820415,3200,16.0,3.289008444548864e-12,-1.0863507493993358,0.0,1.0863507493993358,3.141592653589793,real flip,4.4490483647197934e-10,0.8450785843372521,0.1543609874898356,0.9994395718270878,300,8.670590877532959,-1.013399408688513,-0.2522818600684968,1.044329688580119,3.858141965580175e-05,-1.013399408688513,0.2522818600684968,1.044329688580119,3.858141965580175e-05,-0.8544293140492176,-0.5643524484256327,1.0239839543423632,0.0066456828146892,-0.8544293140492176,0.5643524484256327,1.0239839543423632,0.0066456828146892,8.635074939933585,0.0828241430311905
0.01,5.0,0.002,0.25,0.6129385640828104,7.999314692820414,1600,16.0,2.7960656012737667e-10,-1.0566092152284294,0.0,1.0566092152284294,3.141592653589793,real flip,1.5817816863454327e-09,0.7919016528641677,0.2073065072866707,0.9992081601508384,380,7.138378858566284,-0.6471838029412534,-0.7658225210791554,1.002661961271862,0.0747587609175427,-0.6471838029412534,0.7658225210791554,1.002661961271862,0.0747587609175427,-0.3133633106701465,-0.7553381245534464,0.8177605070422956,0.5237687171123335,-0.3133633106701465,0.7553381245534464,0.8177605070422956,0.5237687171123335,5.660921522842943,0.0550649272966719
0.01,10.0,0.001,0.25,0.6129385640828104,7.999314692820414,1600,16.0,1.6427670364270878e-10,-1.0738910060982114,0.1389647896146807,1.0828449130560116,3.0129047069439125,complex pair,9.90750140305858e-10,0.6607035205772195,0.3383037652846807,0.9990072858619002,300,3.5115108489990234,-1.0738910060982114,-0.1389647896146807,1.0828449130560116,9.90750140305858e-10,-0.8975222394372078,-0.5100335804030642,1.0323179856144855,0.0007659762248354,-0.8975222394372078,0.5100335804030642,1.0323179856144855,0.0007659762248354,-0.496583832209693,-0.7623078211820118,0.9097849837446926,0.4054674397794211,8.284491305601161,0.0795917565235903
0.01,15.0,0.0006666666666666,0.25,0.6129385640828104,7.999314692820414,1600,16.0,1.9175152905275296e-10,-1.080949078443204,0.1464565696822797,1.09082557587834,3.0069238365062443,complex pair,9.410355708867124e-11,0.6619391266358989,0.3373926133948242,0.9993317400307232,300,4.826521158218384,-1.080949078443204,-0.1464565696822797,1.09082557587834,9.410355708867124e-11,-0.8929484712459537,-0.5227050260351547,1.034687158779357,0.0002806295960382,-0.8929484712459537,0.5227050260351547,1.034687158779357,0.0002806295960382,-0.316264022105242,0.5366765386402262,0.622932290706654,0.7096097089955673,9.082557587834009,0.0869348186142571
0.01,20.0,0.0005,0.25,0.6129385640828104,7.999314692820414,1600,16.0,1.6103932467051438e-10,-1.0830096983287123,0.1487810230711936,1.093181503456841,3.0050698485155127,complex pair,2.2967174576368839e-10,0.6617644119237823,0.3376341933938846,0.9993986053176668,280,6.789982318878174,-1.0830096983287123,-0.1487810230711936,1.093181503456841,2.2967174576368839e-10,-0.8910605640240654,-0.5268848741063763,1.0351795010146685,0.0003703880811975,-0.8910605640240654,0.5268848741063763,1.0351795010146685,0.0003703880811975,-0.2023791750530693,0.5046159627577088,0.5436861230204889,0.8604364093703047,9.318150345684106,0.0890922552953049
0.01,30.0,0.0003333333333333,0.25,0.6129385640828104,7.999314692820414,1600,16.0,1.5120295297432214e-10,-1.0843642760987633,0.1503648305783878,1.0947399077196658,3.0038049689971067,complex pair,7.9504658713414e-10,0.6615655368079318,0.337872138585285,0.9994376753932168,260,8.89500617980957,-1.0843642760987633,-0.1503648305783878,1.0947399077196658,7.9504658713414e-10,-0.8896503927229953,-0.5298311806935524,1.0354703768371665,0.0006065419185604,-0.8896503927229953,0.5298311806935524,1.0354703768371665,0.0006065419185604,-0.2477571197867403,-0.5613861286765354,0.6136269028289493,0.6945693470450245,9.473990771966578,0.0905168078577595
